"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","shouldPersistBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistBooking"
"","86","shouldPersistRefundedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistRefundedBooking"
"","656","shouldCreatePayAndConfirmBooking()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreatePayAndConfirmBooking"
"","652","shouldCancelBooking()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCancelBooking"
"","632","shouldListBookings()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldListBookings"
"","65","shouldPersistConfirmedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistConfirmedBooking"
"","656","shouldResetCurrentUserNamespace()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldResetCurrentUserNamespace"
"","716","shouldReturnForbiddenForTravellerToken()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnForbiddenForTravellerToken"
"","47","shouldStartWithEmptyBookingsTable()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldStartWithEmptyBookingsTable"
"","662","validateBusSeatMapResponse()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","validateBusSeatMapResponse"
"","660","shouldCreateBookingSuccessfully()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreateBookingSuccessfully"
"","661","shouldReturnInvalidSeats()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnInvalidSeats"
"","653","shouldGetBookingByPnr()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldGetBookingByPnr"
"","39","shouldResetDataBetweenTests()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldResetDataBetweenTests"
"","3183","makeTheUserAuthentication()","","2026-07-19","failed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","makeTheUserAuthentication"
"","747","getCurrentIdentityForDave()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","getCurrentIdentityForDave"
"","648","searchBusesBetweenCities()","","2026-07-19","failed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","searchBusesBetweenCities"
"","1635","shouldReturnBusNotFoundForInvalidBusId()","","2026-07-19","failed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnBusNotFoundForInvalidBusId"
