"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","692","shouldCreatePayAndConfirmBooking()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreatePayAndConfirmBooking"
"","55","shouldPersistBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistBooking"
"","3290","makeTheUserAuthentication()","","2026-07-19","failed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","makeTheUserAuthentication"
"","710","validateBusSeatMapResponse()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","validateBusSeatMapResponse"
"","706","getCurrentIdentityForDave()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","getCurrentIdentityForDave"
"","99","shouldPersistRefundedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistRefundedBooking"
"","57","shouldResetDataBetweenTests()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldResetDataBetweenTests"
"","768","shouldReturnForbiddenForTravellerToken()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnForbiddenForTravellerToken"
"","49","shouldStartWithEmptyBookingsTable()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldStartWithEmptyBookingsTable"
"","701","shouldGetBookingByPnr()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldGetBookingByPnr"
"","705","shouldReturnInvalidSeats()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnInvalidSeats"
"","701","shouldCancelBooking()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCancelBooking"
"","704","shouldCreateBookingSuccessfully()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreateBookingSuccessfully"
"","694","shouldResetCurrentUserNamespace()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldResetCurrentUserNamespace"
"","1666","shouldReturnBusNotFoundForInvalidBusId()","","2026-07-19","failed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnBusNotFoundForInvalidBusId"
"","695","shouldListBookings()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldListBookings"
"","711","searchBusesBetweenCities()","","2026-07-19","failed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","searchBusesBetweenCities"
"","51","shouldPersistConfirmedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistConfirmedBooking"
