"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1585","shouldListBookings()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldListBookings"
"","4524","shouldGetBookingByPnr()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldGetBookingByPnr"
"","74","shouldPersistRefundedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistRefundedBooking"
"","1523","shouldReturnBusNotFoundForInvalidBusId()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnBusNotFoundForInvalidBusId"
"","34","shouldStartWithEmptyBookingsTable()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldStartWithEmptyBookingsTable"
"","749","searchBusesBetweenCities()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","searchBusesBetweenCities"
"","1506","validateBusSeatMapResponse()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","validateBusSeatMapResponse"
"","3882","makeTheUserAuthentication()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","makeTheUserAuthentication"
"","1690","shouldReturnForbiddenForTravellerToken()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnForbiddenForTravellerToken"
"","1618","shouldResetCurrentUserNamespace()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldResetCurrentUserNamespace"
"","1636","shouldReturnInvalidSeats()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnInvalidSeats"
"","2356","shouldCreateBookingSuccessfully()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreateBookingSuccessfully"
"","1608","getCurrentIdentityForDave()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","getCurrentIdentityForDave"
"","49","shouldPersistBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistBooking"
"","38","shouldResetDataBetweenTests()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldResetDataBetweenTests"
"","56","shouldPersistConfirmedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistConfirmedBooking"
"","4556","shouldCancelBooking()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCancelBooking"
"","3118","shouldCreatePayAndConfirmBooking()","","2026-07-19","passed","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreatePayAndConfirmBooking"
