"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2624","makeTheUserAuthentication()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","makeTheUserAuthentication"
"","1586","getCurrentIdentityForDave()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","getCurrentIdentityForDave"
"","1212","shouldReturnBusNotFoundForInvalidBusId()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnBusNotFoundForInvalidBusId"
"","32","shouldPersistConfirmedBooking()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistConfirmedBooking"
"","24","shouldResetDataBetweenTests()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldResetDataBetweenTests"
"","1600","shouldReturnInvalidSeats()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnInvalidSeats"
"","27","shouldStartWithEmptyBookingsTable()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldStartWithEmptyBookingsTable"
"","1663","shouldReturnForbiddenForTravellerToken()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnForbiddenForTravellerToken"
"","1596","shouldResetCurrentUserNamespace()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldResetCurrentUserNamespace"
"","3031","shouldCreatePayAndConfirmBooking()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreatePayAndConfirmBooking"
"","37","shouldPersistBooking()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistBooking"
"","1569","shouldListBookings()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldListBookings"
"","2321","shouldCreateBookingSuccessfully()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreateBookingSuccessfully"
"","724","searchBusesBetweenCities()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","searchBusesBetweenCities"
"","4526","shouldCancelBooking()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCancelBooking"
"","73","shouldPersistRefundedBooking()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistRefundedBooking"
"","4480","shouldGetBookingByPnr()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldGetBookingByPnr"
"","1458","validateBusSeatMapResponse()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","validateBusSeatMapResponse"
