"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","shouldPersistBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistBooking"
"","55","shouldPersistConfirmedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistConfirmedBooking"
"","1","shouldListBookings()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldListBookings"
"","47","shouldStartWithEmptyBookingsTable()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldStartWithEmptyBookingsTable"
"","175","makeTheUserAuthentication()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","makeTheUserAuthentication"
"","5","shouldGetBookingByPnr()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldGetBookingByPnr"
"","1","shouldCreatePayAndConfirmBooking()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreatePayAndConfirmBooking"
"","2","shouldCancelBooking()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCancelBooking"
"","2","shouldCreateBookingSuccessfully()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreateBookingSuccessfully"
"","2","getCurrentIdentityForDave()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","getCurrentIdentityForDave"
"","3","searchBusesBetweenCities()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","searchBusesBetweenCities"
"","2","shouldReturnInvalidSeats()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnInvalidSeats"
"","1","shouldResetCurrentUserNamespace()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldResetCurrentUserNamespace"
"","684","shouldReturnBusNotFoundForInvalidBusId()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnBusNotFoundForInvalidBusId"
"","4","shouldReturnForbiddenForTravellerToken()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnForbiddenForTravellerToken"
"","47","shouldResetDataBetweenTests()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldResetDataBetweenTests"
"","79","shouldPersistRefundedBooking()","","2026-07-19","passed","2026-07-19","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistRefundedBooking"
"","7","validateBusSeatMapResponse()","","2026-07-19","broken","2026-07-19","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","validateBusSeatMapResponse"
